IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0027_11,3,2,-154.74035831,-154.61718805,-154.610792
0027_12,3,2,-154.74523132,-154.61667779,-154.6092587
0027_13,2,1,-154.62294354,-154.61271257,-154.46489982
0027_14,2,1,-154.62420459,-154.61844582,-154.46931434
0027_15,2,1,-154.6543881,-154.65042808,-154.47273718
0027_16,2,1,-154.64152618,-154.63389449,-154.54487863
0027_2,2,3,-154.86444303,-154.60245991,-154.59931846
0027_3,3,2,-154.7693089,-154.61995327,-154.61197802
0027_4,3,2,-154.76869785,-154.62430178,-154.61605398
0027_5,3,2,-154.7150147,-154.60573388,-154.60222665
0027_6,2,3,-154.71881646,-154.59694507,-154.58817159
0027_7,2,1,-154.65302615,-154.64531948,-154.48631132
0027_8,2,1,-154.64611295,-154.64308014,-154.4525901
0027_9,3,2,-154.75351168,-154.65111565,-154.64443291
0028_2,2,1,-154.67410242,-154.67264375,-154.46399805
0029_2,2,1,-154.60549572,-154.60211234,-154.45700214
0029_3,2,1,-154.61485565,-154.61165378,-154.46570147
0030_10,2,1,-154.64138035,-154.6375381,-154.56198303
0030_11,2,1,-154.63827003,-154.63758478,-154.47358431
0030_12,2,1,-154.67549779,-154.67368115,-154.63198349
0030_13,2,1,-154.71278852,-154.70867196,-154.64367639
0030_2,2,3,-154.89845275,-154.6276151,-154.62691894
0030_3,3,2,-154.88385233,-154.61216354,-154.60800084
0030_4,3,2,-154.87671005,-154.60395505,-154.60264299
0030_5,2,3,-154.87595717,-154.60457314,-154.60255603
0030_6,3,2,-154.85242468,-154.60541712,-154.60414933
0030_7,3,2,-154.85358829,-154.61169628,-154.60576943
0030_8,2,1,-154.65569254,-154.65242959,-154.48208275
0030_9,2,1,-154.67373611,-154.67180057,-154.50197409
0031_2,2,3,-154.89191033,-154.62364117,-154.62225035
0031_3,3,2,-154.80812157,-154.64004044,-154.63962086
0031_4,2,1,-154.64801957,-154.6391981,-154.49617483
0031_5,2,1,-154.64289817,-154.63821674,-154.48908898
0031_6,2,1,-154.63052608,-154.62195964,-154.41842227
0031_7,2,1,-154.64661259,-154.64527541,-154.41158714
0032_10,2,1,-154.67696693,-154.66795464,-154.48655741
0032_2,2,3,-154.90663944,-154.63905442,-154.63490817
0032_3,2,1,-154.65843895,-154.6580983,-154.4797949
0032_4,2,1,-154.64081721,-154.63988318,-154.45358467
0032_5,2,1,-154.66724178,-154.66653907,-154.4859733
0032_6,3,2,-154.79122361,-154.66568956,-154.66329154
0032_7,3,2,-154.78626492,-154.66783908,-154.66334827
0032_8,2,1,-154.70118164,-154.7009508,-154.51434187
0032_9,2,1,-154.69268682,-154.68816214,-154.52492108
