idx,cluster
0899_2,1
0326_2,0
0363_2,1
0918_3,0
0488_4,2
0436_2,0
0473_2,0
0166_3,0
0925_3,1
0123_3,0
0021_4,2
0064_4,2
0827_4,1
0670_5,0
0737_2,1
0772_2,0
0938_6,1
0267_3,2
0859_2,2
0222_3,2
0320_4,2
0118_5,1
0365_4,2
0880_3,2
0412_3,1
0086_3,2
0510_4,0
0728_5,0
0005_5,2
0151_8,0
0593_2,0
0901_2,2
0142_2,2
0944_2,0
0107_2,0
0713_3,1
0756_3,2
0285_4,0
0790_5,0
0243_2,1
0838_3,2
0692_2,0
0206_2,1
0838_2,2
0206_3,1
0790_4,2
0713_2,1
0387_2,0
0756_2,1
0142_3,0
0593_3,0
0107_3,0
0944_3,0
0005_4,0
0846_4,2
0728_4,0
0412_2,1
0880_2,0
0457_2,1
0086_2,0
0118_4,1
0320_5,0
0365_5,2
0267_2,0
0222_2,0
0859_3,2
0737_3,0
0670_4,2
0635_4,1
0827_5,1
0925_2,1
0166_2,0
0123_2,0
0436_3,0
0473_3,0
0224_4,0
0326_3,0
0918_2,0
0363_3,0
0676_2,2
0899_3,1
0633_2,1
0923_4,1
0125_4,2
0864_3,2
0821_3,2
0146_7,2
0532_2,1
0608_4,1
0475_5,2
0302_2,1
0347_2,2
0796_2,1
0263_6,2
0245_5,0
0715_4,2
0652_3,0
0283_3,1
0617_3,0
0003_2,2
0840_2,0
0497_2,2
0046_2,2
0805_2,0
0339_4,2
0414_4,0
0451_4,2
0669_5,0
0182_3,2
0553_3,2
0516_3,0
0575_2,1
0530_2,2
0414_6,2
0477_5,1
0127_4,2
0866_3,2
0025_3,0
0689_2,1
0823_3,2
0060_3,0
0258_2,1
0674_2,0
0715_6,2
0409_3,1
0631_2,2
0776_5,2
0263_4,2
0818_5,2
0324_3,2
0159_2,2
0361_3,2
0588_2,0
0416_4,0
0769_2,0
0180_3,0
0551_3,2
0514_3,0
0239_3,1
0125_6,0
0842_2,2
0495_2,2
0044_2,2
0807_2,2
0146_5,2
0103_5,0
0940_5,0
0383_4,2
0752_4,0
0650_3,1
0281_3,1
0468_2,2
0300_2,0
0345_2,0
0794_2,0
0410_2,1
0882_2,0
0628_3,0
0455_2,1
0084_2,1
0903_3,1
0378_2,1
0827_7,1
0591_3,2
0946_3,0
0042_4,2
0529_3,1
0711_2,0
0385_2,1
0754_2,1
0079_2,1
0241_3,0
0204_3,2
