IC_Spawn,singlet_1,singlet_2,meci_type
0343_2,-77.76916997,-77.76876583,Ethylidene_Straight
0343_3,-77.77162724,-77.77023615,Ethylidene_Bent
0344_2,-77.78224812,-77.77467698,Twist
0344_3,-77.70230281,-77.69534742,Twist
0344_4,-77.7240788,-77.7205048,Twist
0345_2,-77.72900392,-77.72812018,Twist
0345_3,-77.74715979,-77.74610381,Twist
0346_2,-77.78183799,-77.7791504,Twist
0346_3,-77.77021527,-77.76659195,Twist
0347_2,-77.75536952,-77.75498486,Ethylidene_Straight
0347_3,-77.79099395,-77.7891067,Ethylidene_Straight
0347_4,-77.72668396,-77.72010716,0341_3
0348_2,-77.79643612,-77.79561994,Twist
0348_3,-77.77496254,-77.77315899,Twist
0349_2,-77.7890824,-77.78576165,Ethylidene_Straight
0349_3,-77.77930608,-77.77907737,Ethylidene_Bent
0349_4,-77.74380909,-77.74368051,Ethylidene_Straight
0349_5,-77.72893631,-77.7258286,Ethylidene_Bent
0350_2,-77.7315288,-77.73136811,Ethylidene_Bent
0351_2,-77.76627985,-77.76477933,Twist
0352_2,-77.74212718,-77.73535992,Twist
0352_3,-77.74957354,-77.74373489,Twist
0352_4,-77.79906272,-77.79089498,Twist
0352_5,-77.79924755,-77.79797081,Twist
0353_2,-77.77524752,-77.76491096,Twist
0353_3,-77.69576064,-77.68898316,Twist
0353_4,-77.735665,-77.72939385,Twist
0353_5,-77.77567789,-77.77460674,Twist
0354_2,-77.76139503,-77.75422247,Twist
0354_3,-77.76378698,-77.76078048,Twist
0355_2,-77.68983071,-77.68817966,Ethylidene_Bent
0356_2,-77.71610272,-77.71457659,Twist
0357_2,-77.77297424,-77.77281802,Ethylidene_Straight
0357_3,-77.79792516,-77.79692867,Ethylidene_Bent
0357_4,-77.75906455,-77.75891397,Ethylidene_Bent
0358_2,-77.71063654,-77.70625046,Twist
0358_3,-77.70868528,-77.70790086,Ethylidene_Bent
0359_2,-77.74688146,-77.74479004,Ethylidene_Straight
0359_3,-77.76428504,-77.76312587,Ethylidene_Straight
0359_4,-77.75277891,-77.75040429,Ethylidene_Straight
0360_2,-77.7707488,-77.76408014,Twist
0360_3,-77.71722018,-77.70862588,Twist
0360_4,-77.74742362,-77.74272738,Twist
0361_2,-77.71842271,-77.71781473,Twist
0361_3,-77.75028303,-77.74358771,Twist
0361_4,-77.75486319,-77.74687122,Twist
0362_2,-77.75157142,-77.74998835,Ethylidene_Straight
0362_3,-77.72093267,-77.72080806,Ethylidene_Straight
0363_2,-77.72949744,-77.72340065,H_Dissociation
0363_3,-77.75450228,-77.74996967,Twist
0363_4,-77.79627768,-77.7943941,Twist
0364_2,-77.72810227,-77.71890975,Twist
0364_3,-77.78590456,-77.78287341,Twist
0364_4,-77.75648056,-77.75043047,Twist
0365_2,-77.75856998,-77.74838492,Twist
0365_3,-77.74289345,-77.73384145,Twist
0365_4,-77.80888906,-77.80174894,Twist
0365_5,-77.74155502,-77.74010291,Twist
0366_2,-77.79834403,-77.7946848,Twist
0366_3,-77.7248648,-77.72053392,Ethylidene_Bent
0367_2,-77.69691717,-77.69586206,H_Dissociation
0368_2,-77.71336063,-77.70612513,H_Dissociation
0368_3,-77.71353266,-77.71264415,H_Dissociation
0369_2,-77.80233246,-77.80094053,Ethylidene_Straight
0369_3,-77.72683071,-77.72413717,Ethylidene_Bent
0369_4,-77.72555431,-77.72180866,Ethylidene_Bent
0370_2,-77.7365966,-77.73410067,Ethylidene_Bent
0371_2,-77.71717118,-77.70842244,Ethylidene_Straight
0371_3,-77.70178267,-77.70141881,H_Dissociation
0371_4,-77.80260561,-77.8021322,Ethylidene_Bent
0371_5,-77.75490855,-77.75376088,Ethylidene_Bent
0372_2,-77.75277398,-77.75113179,Ethylidene_Straight
0373_2,-77.80116511,-77.79258825,Twist
0373_3,-77.73455002,-77.72565021,Twist
0373_4,-77.77553763,-77.77357947,Twist
0374_2,-77.73746986,-77.73027124,Twist
0374_3,-77.72740251,-77.71836894,Twist
0374_4,-77.71713117,-77.71602195,Twist
0375_2,-77.70801164,-77.70649477,H_Dissociation
0375_3,-77.76162162,-77.75642429,Ethylidene_Bent
0376_2,-77.68612147,-77.6807735,H_Dissociation
0376_3,-77.69396012,-77.68753756,Ethylidene_Straight
0376_4,-77.74800934,-77.74615977,Ethylidene_Straight
0377_3,-77.71951349,-77.71363932,Twist
0377_4,-77.76540476,-77.76433679,Twist
0378_2,-77.70020786,-77.69130219,H_Dissociation
0378_3,-77.70884025,-77.69917065,Ethylidene_Straight
0378_4,-77.71036234,-77.70750182,Ethylidene_Bent
0379_2,-77.73810063,-77.73092114,Twist
0379_3,-77.7668237,-77.75833768,Twist
0379_4,-77.74213201,-77.74008568,Twist
0381_2,-77.70755492,-77.70577999,Ethylidene_Bent
0382_10,-77.76664559,-77.76639689,Ethylidene_Straight
0382_2,-77.70191789,-77.69012865,Ethylidene_Bent
0382_3,-77.75279641,-77.7525902,Ethylidene_Straight
0382_4,-77.76872504,-77.76627718,Ethylidene_Bent
0382_5,-77.69498486,-77.69456901,Ethylidene_Straight
