IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0119_8,2,1,-230.34705605,-230.33605669,-230.21819165,Type_2
0119_9,2,1,-230.33171486,-230.3260974,-230.19948279,Type_2
0120_3,2,1,-230.34255433,-230.34244855,-230.24163973,Type_3
0120_5,2,1,-230.35578997,-230.35065124,-230.25238432,Type_3
0120_6,2,1,-230.33313091,-230.32684772,-230.21871803,Type_3
0120_7,2,1,-230.33958502,-230.32130107,-230.19038175,Type_1
0120_8,2,1,-230.31911788,-230.3144344,-230.21773522,Type_3
0122_10,2,1,-230.34089294,-230.33630757,-230.21385675,Type_1
0122_11,2,1,-230.35836333,-230.35325236,-230.24102909,Type_1
0122_12,2,1,-230.33250973,-230.33219699,-230.21593966,Type_1
0122_5,2,1,-230.35124536,-230.34783232,-230.22573501,Type_1
0122_6,2,1,-230.3587244,-230.35397895,-230.21723687,Type_1
0122_7,2,1,-230.36458365,-230.35568615,-230.2547834,Type_1
0122_8,2,1,-230.36960598,-230.3641252,-230.26209158,Type_2
0122_9,2,1,-230.36710803,-230.36682727,-230.24328788,Type_1
0123_10,2,1,-230.33025112,-230.3185978,-230.19247876,Type_1
0123_11,2,1,-230.28615787,-230.28565011,-230.18513841,Type_1
0123_12,2,1,-230.31344202,-230.29664406,-230.20359928,Type_2
0123_13,2,1,-230.32086133,-230.31244297,-230.19619137,Type_2
0123_14,2,1,-230.32086207,-230.31760526,-230.21471283,Type_3
0123_15,2,1,-230.26738286,-230.26496359,-230.13753465,Type_1
0123_16,2,1,-230.3361668,-230.3349765,-230.2302517,Type_2
0123_4,2,1,-230.31875395,-230.30277302,-230.20494057,Type_3
0123_8,2,1,-230.3191661,-230.31414756,-230.21416348,Type_3
0123_9,2,1,-230.33536758,-230.3345194,-230.2377012,Type_3
0124_10,2,1,-230.34604229,-230.34517985,-230.23801174,Type_2
0124_11,2,1,-230.32501189,-230.32226295,-230.18663593,Type_1
0124_12,2,1,-230.3184164,-230.31401308,-230.20685304,Type_1
0124_13,2,1,-230.35764475,-230.34347554,-230.25003737,Type_3
0124_14,2,1,-230.33026442,-230.3220345,-230.21781847,Type_3
0124_3,2,1,-230.37367085,-230.35514213,-230.27002203,Type_3
0124_5,2,1,-230.36947483,-230.34768268,-230.25859386,Type_3
0124_6,2,1,-230.34346749,-230.33773223,-230.23008154,Type_3
0124_7,2,1,-230.348506,-230.34653086,-230.23682757,Type_2
0124_9,2,1,-230.32636135,-230.32220289,-230.24525999,Type_2
0126_10,2,1,-230.33556497,-230.32937118,-230.22442358,Type_2
0126_11,2,1,-230.34212916,-230.33479239,-230.23957376,0200_15
0126_12,2,1,-230.32719199,-230.32419785,-230.23051447,Type_2
0126_13,2,1,-230.34288989,-230.33558273,-230.23701055,Type_2
0126_14,2,1,-230.341859,-230.34166912,-230.233142,Type_1
0126_15,2,1,-230.36129012,-230.35977131,-230.24110055,Type_1
0126_16,2,1,-230.336459,-230.33441654,-230.22677815,Type_3
0126_17,2,1,-230.34592309,-230.34390951,-230.22304715,Type_1
0126_5,2,1,-230.37224877,-230.35679987,-230.25057029,Type_3
0126_7,2,1,-230.37960911,-230.37445152,-230.25293955,Type_1
0126_8,2,1,-230.36131083,-230.36054188,-230.24111871,Type_2
0126_9,2,1,-230.33575424,-230.32841211,-230.2099133,Type_1
0127_4,2,1,-230.36648506,-230.3633668,-230.25369516,Type_3
0127_5,2,1,-230.3523824,-230.34862572,-230.22806954,Type_1
0127_6,2,1,-230.36588257,-230.36032604,-230.23149488,Type_1
0127_7,2,1,-230.32907252,-230.32840094,-230.18642903,Type_1
0128_5,2,1,-230.33229667,-230.31987922,-230.2613904,Type_2
0128_6,2,1,-230.33241897,-230.32941237,-230.19816965,Type_2
0128_7,2,1,-230.3550045,-230.34270912,-230.22005815,Type_2
