feature,reduction,n_components,linear_accuracy,trustworthiness,silhouette,pearson_dist_corr
MBTR,PCA,4.0,0.7773584905660378,0.9533190833163518,0.007345780356489755,0.9342057982685941
MBTR,PCA,5.0,0.7962264150943397,0.9669219818796437,-0.00021800597414980085,0.9464228865783993
MBTR,UMAP,1.0,0.7622641509433963,0.8668406729592197,0.27120447158813477,0.3882274971494228
MBTR,UMAP,2.0,0.7886792452830189,0.9303655721902102,-0.012665584683418274,0.4112667689549821
MBTR,UMAP,3.0,0.8113207547169812,0.9528400746319348,-0.0440681166946888,0.4144981210716942
MBTR,UMAP,4.0,0.8415094339622642,0.9644371026507055,-0.06338586658239365,0.3857403007145989
MBTR,UMAP,5.0,0.8528301886792453,0.9670226858536064,-0.05624986067414284,0.3904108995980428
MBTR,TSNE,1.0,0.7735849056603774,0.9415248674358208,0.045241307467222214,0.4709175776941907
MBTR,TSNE,2.0,0.7509433962264151,0.9497072098437845,0.0020474467892199755,0.5679919323086688
MBTR,TSNE,3.0,0.7849056603773585,0.9653429181317736,-0.011822227388620377,0.5565862569935182
flatten_cartesian,NONE,,0.8830188679245283,,,
flatten_cartesian,PCA,1.0,0.6264150943396226,0.8049531093508149,-0.11197495247406691,0.8288254741419354
flatten_cartesian,PCA,2.0,0.7471698113207547,0.88229104431235,-0.05768805193480225,0.8713857501603895
flatten_cartesian,PCA,3.0,0.8150943396226416,0.940589048876402,-0.017347212654299053,0.941837949172892
flatten_cartesian,PCA,4.0,0.8566037735849057,0.964058451083854,0.00911992645578929,0.9679586575796512
flatten_cartesian,PCA,5.0,0.8603773584905661,0.9779370426734535,0.00442052548902252,0.9798797422135396
flatten_cartesian,UMAP,1.0,0.7811320754716982,0.9320460336248373,-0.030468229204416275,0.5360439310602791
flatten_cartesian,UMAP,2.0,0.8415094339622642,0.957417076029477,-0.023442326113581657,0.609429987941293
flatten_cartesian,UMAP,3.0,0.8754716981132076,0.9721613633768783,-0.047900307923555374,0.6009518183195792
flatten_cartesian,UMAP,4.0,0.8830188679245283,0.9780142182218118,-0.054885104298591614,0.6349741813610337
flatten_cartesian,UMAP,5.0,0.8679245283018868,0.978790251600959,-0.05814475193619728,0.595778071803078
flatten_cartesian,TSNE,1.0,0.6415094339622641,0.9646443493479823,-0.010593078099191189,0.7803602122483515
flatten_cartesian,TSNE,2.0,0.8528301886792453,0.9719207028466793,0.08988826721906662,0.776038361164942
flatten_cartesian,TSNE,3.0,0.8528301886792453,0.9802720221294381,0.08159792423248291,0.7049440979116957
