IC_Spawn,singlet_1,singlet_2
0636_3,-77.70719774,-77.69899805
0636_4,-77.69559261,-77.68619035
0636_5,-77.71441796,-77.70812388
0636_6,-77.70229913,-77.69841021
0637_2,-77.69890056,-77.69779989
0638_2,-77.75145952,-77.74512952
0638_3,-77.81515913,-77.81414638
0639_2,-77.73974099,-77.73292547
0639_3,-77.73328634,-77.72702553
0639_4,-77.73675656,-77.73105855
0640_2,-77.81226195,-77.80936423
0641_2,-77.77534393,-77.76361507
0641_3,-77.75820402,-77.75605491
0642_2,-77.78843236,-77.78061992
0642_3,-77.81490123,-77.80742668
0642_4,-77.77309014,-77.76609717
0642_5,-77.78522722,-77.77572794
0643_2,-77.76112836,-77.74947127
0643_3,-77.79879516,-77.79573298
0644_2,-77.77514084,-77.77093407
0644_3,-77.76449744,-77.76392784
0644_4,-77.76378091,-77.76156944
0644_5,-77.75539749,-77.75404419
0645_2,-77.76764482,-77.76040629
0645_3,-77.75921341,-77.74972388
0645_4,-77.75906039,-77.7535429
0645_5,-77.8252546,-77.82496482
0645_6,-77.80823151,-77.80771963
0645_7,-77.70377928,-77.70325373
0646_2,-77.75052281,-77.75019705
0646_3,-77.77580504,-77.77528285
0647_2,-77.72179668,-77.71633575
0647_3,-77.79415713,-77.78536947
0647_4,-77.72991621,-77.72693655
0648_2,-77.71421224,-77.70862826
0648_3,-77.68953855,-77.68499983
0648_4,-77.68723409,-77.68229576
0649_2,-77.71076796,-77.71025191
0649_3,-77.70202855,-77.68293988
0649_4,-77.6696592,-77.66204265
0649_5,-77.80194955,-77.80157486
0649_6,-77.72823619,-77.72324416
0650_2,-77.67672496,-77.67012806
0650_3,-77.69768666,-77.69472343
0650_4,-77.70681564,-77.70467801
0651_2,-77.7417456,-77.73229211
0651_3,-77.69038444,-77.68371692
0651_4,-77.70288903,-77.69869344
0652_2,-77.74110486,-77.73472339
0652_3,-77.82756395,-77.81731788
0652_4,-77.82337497,-77.82292545
0652_5,-77.81062706,-77.80976938
0653_10,-77.81785056,-77.81681893
0653_2,-77.81234645,-77.81086427
0653_3,-77.81002471,-77.80957538
0653_4,-77.79506008,-77.7943234
0653_5,-77.75673631,-77.75582261
0653_6,-77.76074286,-77.76031752
0653_7,-77.7438757,-77.73819784
0653_8,-77.77614536,-77.77298882
0653_9,-77.78091637,-77.7808409
0654_2,-77.73072472,-77.72717532
0654_3,-77.79243118,-77.78945586
